t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau
0.0042,0.000000,-0.000000,0.052360,0.0000,0.0000,0.0000,0.0381
0.0083,-0.000670,-0.001242,0.053016,-0.2549,-0.4731,0.2517,-0.1799
0.0125,0.001952,0.003374,0.051175,1.1514,2.0433,-0.8571,1.0112
0.0167,-0.012967,-0.023612,0.063813,-6.3535,-11.4793,5.3373,-3.0000
0.0208,0.026281,0.046488,0.033068,18.8003,33.7165,-15.0912,3.0000
0.0250,0.009128,0.015854,0.046788,-17.6234,-31.6033,14.2304,-3.0000
0.0292,0.025452,0.046064,0.031649,16.8735,30.5868,-14.2956,3.0000
0.0333,0.004005,0.009002,0.045868,-18.1664,-32.2759,13.9685,-3.0000
0.0375,0.019118,0.038115,0.029227,16.7231,30.5481,-14.7009,3.0000
0.0417,-0.002865,0.000925,0.041994,-18.2836,-32.3065,13.6605,-3.0000
0.0458,0.012319,0.030704,0.024135,16.8073,30.8007,-14.9774,3.0000
0.0500,-0.009157,-0.005309,0.036009,-18.1343,-31.9980,13.4836,-3.0000
0.0542,0.006892,0.026035,0.017616,17.0454,31.2108,-15.0796,3.0000
0.0583,-0.013374,-0.008020,0.029257,-17.7967,-31.4655,13.4471,-3.0000
0.0625,0.003952,0.025247,0.010994,17.3380,31.6401,-15.0191,3.0000
0.0667,-0.014776,-0.006551,0.022928,-17.3526,-30.8072,13.5042,-3.0000
0.0708,0.003804,0.028432,0.005294,17.5645,31.9265,-14.8274,3.0000
0.0750,-0.013411,-0.001216,0.017781,-16.8677,-30.0856,13.5749,-3.0000
0.0792,0.006025,0.034832,0.001031,17.6202,31.9352,-14.5481,3.0000
0.0833,-0.009972,0.006951,0.014045,-16.3888,-29.3363,13.5795,-3.0000
0.0875,0.009707,0.043207,-0.001827,17.4490,31.6044,-14.2324,3.0000
0.0917,-0.005507,0.016598,0.011450,-15.9432,-28.5779,13.4634,-3.0000
0.0958,0.013770,0.052235,-0.003764,17.0521,30.9552,-13.9288,3.0000
0.1000,-0.001092,0.026460,0.009371,-15.5342,-27.8075,13.2049,-3.0000
0.1042,0.017247,0.060862,-0.005525,16.4711,30.0598,-13.6681,3.0000
0.1083,0.002437,0.035689,0.007028,-15.1358,-26.9895,12.8074,-3.0000
0.1125,0.019493,0.068509,-0.007889,15.7582,28.9938,-13.4505,3.0000
0.1167,0.004645,0.043988,0.003686,-14.6964,-26.0556,12.2878,-3.0000
0.1208,0.020256,0.075108,-0.011483,14.9506,27.7984,-13.2443,3.0000
0.1250,0.005498,0.051563,-0.001170,-14.1534,-24.9234,11.6682,-3.0000
0.1292,0.019649,0.081002,-0.016653,14.0626,26.4719,-12.9961,3.0000
0.1333,0.005269,0.058931,-0.007736,-13.4545,-23.5266,10.9727,-3.0000
0.1375,0.018022,0.086750,-0.023416,13.0927,24.9889,-12.6508,3.0000
0.1417,0.004380,0.066689,-0.015879,-12.5768,-21.8435,10.2290,-3.0000
0.1458,0.015833,0.092938,-0.031498,12.0417,23.3345,-12.1718,3.0000
0.1500,0.003261,0.075321,-0.025187,-11.5367,-19.9134,9.4702,-3.0000
0.1542,0.013530,0.100040,-0.040421,10.9292,21.5342,-11.5549,3.0000
0.1583,0.002266,0.085118,-0.035086,-10.3851,-17.8284,8.7340,-3.0000
0.1625,0.011479,0.108362,-0.049618,9.7967,19.6584,-10.8288,3.0000
0.1667,0.001645,0.096183,-0.044956,-9.1912,-15.7065,8.0562,-3.0000
0.1708,0.009938,0.118039,-0.058535,8.6943,17.7993,-10.0419,3.0000
0.1750,0.001545,0.108486,-0.054250,-8.0221,-13.6582,7.4624,-3.0000
0.1792,0.009050,0.129066,-0.066712,7.6641,16.0390,-9.2459,3.0000
0.1833,0.002023,0.121912,-0.062549,-6.9296,-11.7647,6.9634,-3.0000
0.1875,0.008850,0.141333,-0.073825,6.7304,14.4304,-8.4839,3.0000
0.1917,0.003058,0.136293,-0.069600,-5.9456,-10.0713,6.5563,-3.0000
0.1958,0.009284,0.154662,-0.079702,5.8993,12.9951,-7.7856,3.0000
0.2000,0.004557,0.151429,-0.075303,-5.0838,-8.5927,6.2282,-3.0000
0.2042,0.010228,0.168834,-0.084311,5.1648,11.7320,-7.1678,3.0000
0.2083,0.006385,0.167112,-0.079694,-4.3444,-7.3216,5.9622,-2.8151
0.2125,0.010426,0.181391,-0.086126,4.1204,9.8121,-6.0335,3.0000
0.2167,0.005930,0.178083,-0.079180,-4.0393,-6.8987,6.2188,-2.5231
0.2208,0.007627,0.187502,-0.081286,3.0848,7.7726,-4.5526,3.0000
0.2250,0.001562,0.180416,-0.069865,-4.0966,-7.2562,7.0979,-2.5716
0.2292,0.002989,0.188714,-0.069447,3.0404,7.6001,-4.1259,3.0000
0.2333,-0.002220,0.182389,-0.056050,-3.7535,-6.8821,7.6080,-2.2826
0.2375,-0.001257,0.188630,-0.051417,2.6786,6.6236,-2.8259,3.0000
0.2417,-0.006936,0.179835,-0.032764,-3.7670,-7.3306,8.8775,-2.3139
0.2458,-0.005127,0.186303,-0.024873,3.0386,7.0257,-2.3517,3.0000
0.2500,-0.009532,0.178374,-0.002971,-3.5045,-7.2578,9.8455,-2.1013
0.2542,-0.007060,0.184350,0.009323,3.1584,6.8317,-1.2524,3.0000
0.2583,-0.011377,0.174617,0.036850,-3.5848,-7.9055,11.3695,-2.1800
0.2625,-0.007116,0.182395,0.051881,3.9268,7.9656,-1.1292,3.0000
0.2667,-0.009926,0.173961,0.082431,-3.4690,-8.0906,12.4559,-2.0653
0.2708,-0.004297,0.182773,0.100624,4.4072,8.5109,-0.5710,3.0000
0.2750,-0.006978,0.173049,0.135716,-3.7387,-8.9624,13.8784,-2.2600
0.2792,0.001297,0.185942,0.154099,5.6097,10.6344,-1.3489,3.0000
0.2833,0.000391,0.178910,0.189834,-3.7389,-9.1388,14.5750,-2.1797
0.2875,0.009714,0.193122,0.209652,6.0233,11.2572,-1.2058,3.0000
0.2917,0.008033,0.184175,0.248453,-4.3047,-10.2792,15.6745,-2.5578
0.2958,0.020497,0.204721,0.264750,7.5559,14.3427,-3.1920,3.0000
0.3000,0.021088,0.200882,0.300188,-4.2236,-9.9698,15.5386,-2.3302
0.3042,0.031955,0.218915,0.318219,6.9023,13.1976,-2.4368,3.0000
