t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau
0.0010,0.000000,-0.000000,0.150000,0.0000,0.0000,0.0000,0.00
0.0020,-0.000000,-0.000002,0.150004,-0.0007,-0.0038,0.0065,0.00
0.0030,-0.000002,-0.000008,0.150015,-0.0014,-0.0075,0.0131,0.00
0.0040,-0.000003,-0.000018,0.150032,-0.0021,-0.0113,0.0196,0.00
0.0050,-0.000006,-0.000032,0.150056,-0.0028,-0.0151,0.0261,0.00
0.0060,-0.000009,-0.000050,0.150086,-0.0035,-0.0189,0.0326,0.00
0.0070,-0.000013,-0.000071,0.150122,-0.0042,-0.0226,0.0392,0.00
0.0080,-0.000018,-0.000096,0.150166,-0.0049,-0.0264,0.0457,0.00
0.0090,-0.000023,-0.000124,0.150215,-0.0056,-0.0302,0.0522,0.00
0.0100,-0.000029,-0.000157,0.150272,-0.0063,-0.0339,0.0587,0.00
0.0110,-0.000036,-0.000193,0.150334,-0.0070,-0.0377,0.0653,0.00
0.0120,-0.000043,-0.000233,0.150404,-0.0077,-0.0415,0.0718,0.00
0.0130,-0.000051,-0.000277,0.150480,-0.0084,-0.0453,0.0783,0.00
0.0140,-0.000060,-0.000325,0.150562,-0.0091,-0.0490,0.0849,0.00
0.0150,-0.000069,-0.000376,0.150651,-0.0098,-0.0528,0.0914,0.00
0.0160,-0.000080,-0.000431,0.150747,-0.0105,-0.0566,0.0979,0.00
0.0170,-0.000091,-0.000490,0.150849,-0.0112,-0.0604,0.1045,0.00
0.0180,-0.000102,-0.000553,0.150957,-0.0119,-0.0642,0.1110,0.00
0.0190,-0.000114,-0.000620,0.151072,-0.0126,-0.0680,0.1176,0.00
0.0200,-0.000127,-0.000690,0.151194,-0.0133,-0.0718,0.1242,0.00
0.0210,-0.000141,-0.000764,0.151322,-0.0140,-0.0756,0.1307,0.00
0.0220,-0.000156,-0.000842,0.151457,-0.0147,-0.0795,0.1373,0.00
0.0230,-0.000171,-0.000924,0.151598,-0.0154,-0.0833,0.1439,0.00
0.0240,-0.000187,-0.001010,0.151746,-0.0161,-0.0872,0.1505,0.00
0.0250,-0.000203,-0.001100,0.151901,-0.0169,-0.0910,0.1571,0.00
0.0260,-0.000220,-0.001193,0.152062,-0.0176,-0.0949,0.1637,0.00
0.0270,-0.000238,-0.001290,0.152230,-0.0183,-0.0987,0.1703,0.00
0.0280,-0.000257,-0.001391,0.152404,-0.0190,-0.1026,0.1769,0.00
0.0290,-0.000277,-0.001497,0.152586,-0.0198,-0.1065,0.1835,0.00
0.0300,-0.000297,-0.001606,0.152773,-0.0205,-0.1104,0.1902,0.00
0.0310,-0.000318,-0.001718,0.152968,-0.0213,-0.1143,0.1969,0.00
0.0320,-0.000340,-0.001835,0.153169,-0.0220,-0.1183,0.2035,0.00
0.0330,-0.000362,-0.001956,0.153376,-0.0227,-0.1222,0.2102,0.00
0.0340,-0.000385,-0.002081,0.153591,-0.0235,-0.1262,0.2169,0.00
0.0350,-0.000409,-0.002209,0.153812,-0.0243,-0.1302,0.2236,0.00
0.0360,-0.000434,-0.002342,0.154040,-0.0250,-0.1341,0.2303,0.00
0.0370,-0.000460,-0.002479,0.154274,-0.0258,-0.1381,0.2370,0.00
0.0380,-0.000486,-0.002619,0.154515,-0.0266,-0.1422,0.2438,0.00
0.0390,-0.000513,-0.002764,0.154763,-0.0273,-0.1462,0.2505,0.00
0.0400,-0.000541,-0.002913,0.155018,-0.0281,-0.1503,0.2573,0.00
0.0410,-0.000569,-0.003066,0.155280,-0.0289,-0.1543,0.2641,0.00
0.0420,-0.000599,-0.003222,0.155548,-0.0297,-0.1584,0.2709,0.00
0.0430,-0.000629,-0.003383,0.155823,-0.0305,-0.1625,0.2777,0.00
0.0440,-0.000660,-0.003548,0.156105,-0.0313,-0.1667,0.2846,0.00
