t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau
0.0010,0.000000,-0.000000,0.150000,0.0000,0.0000,0.0000,0.00
0.0020,0.000000,-0.000000,0.150000,0.0003,-0.0004,0.0007,0.00
0.0030,0.000001,-0.000001,0.150002,0.0005,-0.0008,0.0014,0.00
0.0040,0.000001,-0.000002,0.150004,0.0008,-0.0013,0.0022,0.00
0.0050,0.000002,-0.000004,0.150006,0.0010,-0.0018,0.0031,0.00
0.0060,0.000003,-0.000006,0.150010,0.0013,-0.0023,0.0040,0.00
0.0070,0.000005,-0.000008,0.150015,0.0015,-0.0029,0.0050,0.00
0.0080,0.000006,-0.000012,0.150020,0.0017,-0.0035,0.0061,0.00
0.0090,0.000008,-0.000016,0.150027,0.0019,-0.0042,0.0072,0.00
0.0100,0.000010,-0.000020,0.150035,0.0021,-0.0049,0.0086,0.00
0.0110,0.000012,-0.000026,0.150044,0.0022,-0.0058,0.0100,0.00
0.0120,0.000015,-0.000032,0.150055,0.0023,-0.0067,0.0116,0.00
0.0130,0.000017,-0.000039,0.150068,0.0024,-0.0077,0.0133,0.00
0.0140,0.000020,-0.000048,0.150082,0.0025,-0.0088,0.0152,0.00
0.0150,0.000022,-0.000057,0.150099,0.0026,-0.0100,0.0173,0.00
0.0160,0.000025,-0.000068,0.150118,0.0026,-0.0113,0.0196,0.00
0.0170,0.000027,-0.000080,0.150139,0.0026,-0.0127,0.0220,0.00
0.0180,0.000030,-0.000094,0.150162,0.0025,-0.0142,0.0247,0.00
0.0190,0.000032,-0.000109,0.150189,0.0024,-0.0159,0.0276,0.00
0.0200,0.000035,-0.000126,0.150218,0.0023,-0.0177,0.0307,0.00
0.0210,0.000037,-0.000145,0.150251,0.0021,-0.0196,0.0340,0.00
0.0220,0.000039,-0.000166,0.150287,0.0019,-0.0216,0.0375,0.00
0.0230,0.000041,-0.000189,0.150327,0.0017,-0.0238,0.0413,0.00
0.0240,0.000042,-0.000215,0.150370,0.0014,-0.0261,0.0454,0.00
0.0250,0.000043,-0.000242,0.150418,0.0011,-0.0286,0.0496,0.00
0.0260,0.000044,-0.000273,0.150471,0.0007,-0.0312,0.0542,0.00
0.0270,0.000045,-0.000306,0.150528,0.0003,-0.0339,0.0590,0.00
0.0280,0.000045,-0.000341,0.150589,-0.0001,-0.0368,0.0640,0.00
0.0290,0.000044,-0.000380,0.150657,-0.0006,-0.0399,0.0693,0.00
0.0300,0.000043,-0.000422,0.150729,-0.0012,-0.0431,0.0749,0.00
0.0310,0.000042,-0.000468,0.150807,-0.0018,-0.0464,0.0807,0.00
0.0320,0.000040,-0.000516,0.150892,-0.0024,-0.0499,0.0868,0.00
0.0330,0.000037,-0.000569,0.150982,-0.0031,-0.0536,0.0932,0.00
0.0340,0.000033,-0.000625,0.151079,-0.0038,-0.0574,0.0999,0.00
0.0350,0.000029,-0.000685,0.151183,-0.0046,-0.0613,0.1068,0.00
0.0360,0.000024,-0.000749,0.151294,-0.0054,-0.0655,0.1140,0.00
0.0370,0.000018,-0.000817,0.151413,-0.0062,-0.0697,0.1214,0.00
0.0380,0.000011,-0.000890,0.151539,-0.0072,-0.0741,0.1291,0.00
0.0390,0.000003,-0.000967,0.151672,-0.0081,-0.0787,0.1371,0.00
0.0400,-0.000005,-0.001049,0.151814,-0.0091,-0.0834,0.1453,0.00
0.0410,-0.000015,-0.001136,0.151965,-0.0101,-0.0883,0.1537,0.00
0.0420,-0.000026,-0.001227,0.152123,-0.0112,-0.0933,0.1624,0.00
0.0430,-0.000038,-0.001324,0.152291,-0.0124,-0.0984,0.1714,0.00
0.0440,-0.000051,-0.001426,0.152468,-0.0135,-0.1037,0.1806,0.00
0.0450,-0.000065,-0.001533,0.152654,-0.0148,-0.1091,0.1900,0.00
0.0460,-0.000081,-0.001646,0.152850,-0.0160,-0.1146,0.1996,0.00
0.0470,-0.000098,-0.001765,0.153055,-0.0173,-0.1203,0.2095,0.00
0.0480,-0.000116,-0.001889,0.153271,-0.0186,-0.1261,0.2196,0.00
0.0490,-0.000135,-0.002019,0.153497,-0.0200,-0.1320,0.2298,0.00
