t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau
0.0010,0.000000,-0.000000,0.150000,0.0000,0.0000,0.0000,0.00
0.0020,0.000000,-0.000000,0.150000,0.0002,-0.0004,0.0007,0.00
0.0030,0.000000,-0.000001,0.150002,0.0004,-0.0009,0.0015,0.00
0.0040,0.000001,-0.000002,0.150004,0.0006,-0.0013,0.0023,0.00
0.0050,0.000002,-0.000004,0.150006,0.0008,-0.0018,0.0032,0.00
0.0060,0.000003,-0.000006,0.150010,0.0010,-0.0024,0.0041,0.00
0.0070,0.000004,-0.000009,0.150015,0.0012,-0.0030,0.0052,0.00
0.0080,0.000005,-0.000012,0.150021,0.0013,-0.0036,0.0063,0.00
0.0090,0.000007,-0.000016,0.150028,0.0015,-0.0044,0.0076,0.00
0.0100,0.000008,-0.000021,0.150036,0.0016,-0.0052,0.0090,0.00
0.0110,0.000010,-0.000027,0.150047,0.0017,-0.0061,0.0106,0.00
0.0120,0.000011,-0.000034,0.150058,0.0017,-0.0071,0.0123,0.00
0.0130,0.000013,-0.000041,0.150072,0.0017,-0.0082,0.0142,0.00
0.0140,0.000015,-0.000050,0.150087,0.0018,-0.0094,0.0163,0.00
0.0150,0.000017,-0.000060,0.150105,0.0017,-0.0107,0.0186,0.00
0.0160,0.000018,-0.000072,0.150125,0.0017,-0.0121,0.0211,0.00
0.0170,0.000020,-0.000085,0.150148,0.0016,-0.0137,0.0238,0.00
0.0180,0.000021,-0.000100,0.150173,0.0015,-0.0154,0.0267,0.00
0.0190,0.000023,-0.000116,0.150202,0.0013,-0.0172,0.0299,0.00
0.0200,0.000024,-0.000135,0.150234,0.0011,-0.0191,0.0333,0.00
0.0210,0.000025,-0.000155,0.150269,0.0008,-0.0212,0.0370,0.00
0.0220,0.000026,-0.000178,0.150309,0.0006,-0.0235,0.0409,0.00
0.0230,0.000026,-0.000203,0.150352,0.0002,-0.0259,0.0451,0.00
0.0240,0.000026,-0.000230,0.150400,-0.0001,-0.0284,0.0495,0.00
0.0250,0.000026,-0.000260,0.150452,-0.0005,-0.0311,0.0543,0.00
0.0260,0.000025,-0.000293,0.150510,-0.0010,-0.0340,0.0593,0.00
0.0270,0.000023,-0.000329,0.150572,-0.0015,-0.0370,0.0645,0.00
0.0280,0.000022,-0.000368,0.150640,-0.0020,-0.0402,0.0701,0.00
0.0290,0.000019,-0.000411,0.150714,-0.0026,-0.0435,0.0760,0.00
0.0300,0.000016,-0.000456,0.150794,-0.0032,-0.0470,0.0821,0.00
0.0310,0.000013,-0.000506,0.150879,-0.0039,-0.0507,0.0885,0.00
0.0320,0.000008,-0.000559,0.150972,-0.0046,-0.0545,0.0952,0.00
0.0330,0.000003,-0.000616,0.151071,-0.0054,-0.0585,0.1022,0.00
0.0340,-0.000003,-0.000677,0.151178,-0.0062,-0.0627,0.1094,0.00
0.0350,-0.000010,-0.000743,0.151292,-0.0071,-0.0670,0.1170,0.00
0.0360,-0.000017,-0.000812,0.151414,-0.0080,-0.0715,0.1248,0.00
