t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau,x_roll
0.0010,0.000000,-0.000000,0.150098,0.0000,0.0000,0.0000,2.20,0.000000
0.0020,-0.000109,-0.000000,0.150098,-0.1089,0.0000,0.0000,2.20,0.000000
0.0030,-0.000326,-0.000722,0.150614,-0.2172,-0.7222,0.5164,2.20,0.000000
0.0040,-0.000651,-0.002163,0.151644,-0.3250,-1.4405,1.0298,2.20,0.000001
0.0050,-0.001083,-0.004317,0.153184,-0.4323,-2.1546,1.5397,2.09,0.000001
0.0060,-0.001617,-0.007182,0.155230,-0.5334,-2.8646,2.0456,1.79,0.000001
0.0070,-0.002236,-0.010715,0.157750,-0.6195,-3.5329,2.5209,1.47,0.000001
0.0080,-0.002925,-0.014816,0.160675,-0.6889,-4.1008,2.9245,1.17,0.000001
0.0090,-0.003668,-0.019374,0.163925,-0.7430,-4.5589,3.2501,0.90,0.000001
0.0100,-0.004452,-0.024290,0.167428,-0.7836,-4.9153,3.5034,0.68,0.000001
0.0110,-0.005264,-0.029473,0.171123,-0.8128,-5.1831,3.6941,0.49,0.000001
0.0120,-0.006097,-0.034849,0.174955,-0.8326,-5.3760,3.8319,0.33,0.000001
0.0130,-0.006941,-0.040355,0.178880,-0.8444,-5.5067,3.9259,0.21,0.000001
0.0140,-0.007791,-0.045941,0.182864,-0.8499,-5.5860,3.9837,0.10,0.000001
0.0150,-0.008641,-0.051565,0.186876,-0.8501,-5.6234,4.0123,0.01,0.000001
0.0160,-0.009487,-0.057192,0.190894,-0.8461,-5.6270,4.0172,-0.06,0.000001
0.0170,-0.010326,-0.062795,0.194897,-0.8387,-5.6033,4.0032,-0.11,0.000002
0.0180,-0.011155,-0.068353,0.198871,-0.8287,-5.5580,3.9742,-0.16,0.000002
0.0190,-0.011971,-0.073849,0.202804,-0.8166,-5.4958,3.9334,-0.19,0.000002
0.0200,-0.012774,-0.079269,0.206688,-0.8029,-5.4204,3.8836,-0.22,0.000003
