t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.500983156715123557e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.964432716083250652e+00
1.000000000000000021e-03,-1.939723163642687585e-04,-0.000000000000000000e+00,1.500983156715123557e-01,-1.939723163642687598e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000178e+00
2.000000000000000042e-03,-6.043976142226510466e-04,-6.119406008666970547e-04,1.507738349686138790e-01,-4.104252978583823319e-01,-6.119406008666254948e-01,6.755192971014685188e-01,2.200000000000000178e+00
3.000000000000000062e-03,-1.230027961183501137e-03,-1.905435125291660321e-03,1.522000259390354771e-01,-6.256303469608500700e-01,-1.293494524424549486e+00,1.426190970421180371e+00,2.200000000000000178e+00
4.000000000000000083e-03,-2.069686834650711661e-03,-3.875928116932868175e-03,1.543713048292945367e-01,-8.396588734672103538e-01,-1.970492991640306446e+00,2.171278890258256933e+00,2.200000000000000178e+00
5.000000000000000104e-03,-3.122280716459901236e-03,-6.518764005453621738e-03,1.572816986440210008e-01,-1.052593881809189558e+00,-2.642835888519599941e+00,2.910393814725251715e+00,2.126477123476293585e+00
6.000000000000000125e-03,-4.379408802762808917e-03,-9.829171569022295690e-03,1.609247653972682712e-01,-1.257128086302908176e+00,-3.310407563567852041e+00,3.643066753245857381e+00,1.914438880544137689e+00
7.000000000000000146e-03,-5.818848274366078197e-03,-1.377933961537084612e-02,1.652688294722806928e-01,-1.439439471603269460e+00,-3.950168046348432327e+00,4.344064075011230486e+00,1.651616350863614358e+00
8.000000000000000167e-03,-7.413371498289894786e-03,-1.829839622640451816e-02,1.702355187435654615e-01,-1.594523223923816513e+00,-4.519056611033990478e+00,4.966689271284133511e+00,1.383876760577480880e+00
9.000000000000001055e-03,-9.135357951000891083e-03,-2.330008091719372107e-02,1.757299526607311035e-01,-1.721986452710995819e+00,-5.001684690789440779e+00,5.494433917165389758e+00,1.133689187965734035e+00
1.000000000000000194e-02,-1.095904737420340044e-02,-2.869720207460834532e-02,1.816564846927716526e-01,-1.823689423202509596e+00,-5.397121157414383141e+00,5.926532032040568332e+00,9.106009843986964114e-01
1.100000000000000283e-02,-1.286149501591224778e-02,-3.440869602176533509e-02,1.879263851937480745e-01,-1.902447641708847392e+00,-5.711493947156155215e+00,6.269900500976463675e+00,7.172416467553510699e-01
