t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,beta,delta_cmd,delta_actual,phase
0.0010,0.000000,0.087266,0.087266,0.0000,0.0000,0.0000,0.087266,0.000000,0.000000,1
0.0020,0.000003,0.087266,0.087266,0.0033,0.0000,0.0000,0.087266,0.000133,-0.000007,1
0.0030,0.000011,0.087272,0.087265,0.0074,0.0055,-0.0014,0.087270,0.000532,-0.000020,1
0.0040,0.000020,0.087284,0.087263,0.0097,0.0116,-0.0018,0.087278,0.001197,-0.000031,1
0.0050,0.000028,0.087297,0.087266,0.0081,0.0132,0.0030,0.087288,0.002127,-0.000020,1
0.0060,0.000029,0.087303,0.087283,0.0006,0.0057,0.0167,0.087297,0.003324,0.000039,1
0.0070,0.000015,0.087287,0.087326,-0.0144,-0.0152,0.0430,0.087298,0.004787,0.000177,1
0.0080,-0.000024,0.087234,0.087411,-0.0389,-0.0535,0.0855,0.087282,0.006515,0.000439,1
0.0090,-0.000099,0.087121,0.087559,-0.0744,-0.1131,0.1479,0.087240,0.008510,0.000870,1
0.0100,-0.000221,0.086923,0.087793,-0.1226,-0.1980,0.2339,0.087160,0.010770,0.001529,1
0.0110,-0.000406,0.086611,0.088140,-0.1853,-0.3119,0.3469,0.087028,0.013297,0.002479,1
0.0120,-0.000671,0.086152,0.088631,-0.2641,-0.4587,0.4908,0.086828,0.016089,0.003790,1
0.0130,-0.001031,0.085510,0.089300,-0.3608,-0.6423,0.6690,0.086544,0.019147,0.005542,1
0.0140,-0.001508,0.084643,0.090185,-0.4772,-0.8668,0.8852,0.086155,0.022472,0.007821,1
0.0150,-0.002124,0.083507,0.091328,-0.6152,-1.1360,1.1432,0.085640,0.026062,0.010722,1
0.0160,-0.002900,0.082053,0.092775,-0.7766,-1.4541,1.4467,0.084977,0.029918,0.014347,1
0.0170,-0.003864,0.080228,0.094574,-0.9636,-1.8254,1.7994,0.084140,0.034040,0.018806,1
0.0180,-0.005042,0.077973,0.096779,-1.1783,-2.2542,2.2050,0.083102,0.038428,0.024218,1
0.0190,-0.006465,0.075229,0.099447,-1.4228,-2.7449,2.6674,0.081834,0.043082,0.030711,1
0.0200,-0.008164,0.071926,0.102637,-1.6995,-3.3021,3.1903,0.080302,0.048002,0.038418,1
0.0210,-0.010175,0.067996,0.106414,-2.0108,-3.9304,3.7773,0.078474,0.053187,0.047485,1
0.0220,-0.012534,0.063361,0.110846,-2.3592,-4.6346,4.4320,0.076312,0.058639,0.058062,1
0.0230,-0.015282,0.057942,0.116004,-2.7471,-5.4191,5.1575,0.073777,0.064357,0.070306,1
0.0240,-0.018459,0.051654,0.121960,-3.1769,-6.2882,5.9563,0.070829,0.070340,0.084382,1
0.0250,-0.022109,0.044409,0.128790,-3.6506,-7.2456,6.8303,0.067422,0.076590,0.100456,1
0.0260,-0.026279,0.036115,0.136570,-4.1698,-8.2939,7.7798,0.063512,0.083105,0.118694,1
0.0270,-0.031014,0.026680,0.145374,-4.7350,-9.4344,8.8038,0.059051,0.089887,0.139258,1
0.0280,-0.036360,0.016014,0.155272,-5.3458,-10.6659,9.8983,0.053994,0.096934,0.162299,1
0.0290,-0.042360,0.004030,0.166329,-6.0000,-11.9842,11.0565,0.048293,0.104247,0.187948,1
0.0300,-0.049053,-0.009351,0.178597,-6.6933,-13.3814,12.2677,0.041907,0.111826,0.216309,1
0.0310,-0.056472,-0.024196,0.192113,-7.4189,-14.8443,13.5164,0.034798,0.119671,0.247446,1
0.0320,-0.064639,-0.040550,0.206896,-8.1674,-16.3550,14.7826,0.026935,0.127782,0.281378,1
0.0330,-0.073566,-0.058440,0.222937,-8.9270,-17.8898,16.0417,0.018299,0.136159,0.318064,1
0.0340,-0.083251,-0.077861,0.240203,-9.6844,-19.4210,17.2659,0.008884,0.144802,0.357409,1
0.0350,-0.093677,-0.098780,0.258630,-10.4257,-20.9185,18.4263,-0.001305,0.153711,0.399258,1
0.0360,-0.104814,-0.121133,0.278125,-11.1379,-22.3528,19.4960,-0.012244,0.162886,0.443409,1
