t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,beta,delta_cmd,delta_actual,phase
0.0010,0.000000,0.087266,0.087266,0.0000,0.0000,0.0000,0.087266,0.000000,0.000000,0
0.0020,0.000010,0.087266,0.087266,0.0102,0.0000,0.0000,0.087266,0.000000,-0.000009,0
0.0030,0.000031,0.087282,0.087274,0.0211,0.0160,0.0075,0.087280,0.000000,-0.000026,0
0.0040,0.000063,0.087315,0.087289,0.0320,0.0330,0.0155,0.087308,0.000000,-0.000053,0
0.0050,0.000106,0.087365,0.087313,0.0428,0.0500,0.0235,0.087350,0.000000,-0.000088,0
0.0060,0.000160,0.087432,0.087344,0.0537,0.0669,0.0315,0.087406,0.000000,-0.000132,0
0.0070,0.000224,0.087516,0.087384,0.0645,0.0838,0.0396,0.087477,0.000000,-0.000185,0
0.0080,0.000300,0.087617,0.087432,0.0752,0.1006,0.0477,0.087562,0.000000,-0.000247,0
0.0090,0.000385,0.087734,0.087487,0.0860,0.1174,0.0558,0.087662,0.000000,-0.000317,0
0.0100,0.000482,0.087868,0.087551,0.0967,0.1341,0.0639,0.087775,0.000000,-0.000396,0
0.0110,0.000590,0.088019,0.087623,0.1075,0.1509,0.0720,0.087903,0.000000,-0.000483,0
0.0120,0.000708,0.088187,0.087703,0.1182,0.1676,0.0802,0.088045,0.000000,-0.000579,0
0.0130,0.000837,0.088371,0.087792,0.1289,0.1842,0.0883,0.088201,0.000000,-0.000684,0
0.0140,0.000976,0.088572,0.087888,0.1396,0.2009,0.0966,0.088371,0.000000,-0.000796,0
0.0150,0.001127,0.088789,0.087993,0.1503,0.2175,0.1048,0.088555,0.000000,-0.000917,0
0.0160,0.001288,0.089024,0.088106,0.1610,0.2342,0.1131,0.088754,0.000000,-0.001047,0
0.0170,0.001459,0.089274,0.088228,0.1717,0.2508,0.1213,0.088966,0.000000,-0.001185,0
0.0180,0.001642,0.089542,0.088357,0.1824,0.2674,0.1297,0.089193,0.000000,-0.001330,0
0.0190,0.001835,0.089826,0.088495,0.1931,0.2840,0.1380,0.089434,0.000000,-0.001485,0
0.0200,0.002039,0.090126,0.088642,0.2037,0.3006,0.1464,0.089690,0.000000,-0.001647,0
0.0210,0.002253,0.090443,0.088796,0.2144,0.3171,0.1548,0.089959,0.000000,-0.001818,0
0.0220,0.002478,0.090777,0.088960,0.2251,0.3337,0.1632,0.090243,0.000000,-0.001996,0
0.0230,0.002714,0.091127,0.089131,0.2357,0.3503,0.1716,0.090540,0.000000,-0.002183,0
0.0240,0.002960,0.091494,0.089311,0.2464,0.3669,0.1801,0.090852,0.000000,-0.002378,0
0.0250,0.003217,0.091878,0.089500,0.2571,0.3834,0.1886,0.091178,0.000000,-0.002581,0
0.0260,0.003485,0.092278,0.089697,0.2677,0.4000,0.1971,0.091519,0.000000,-0.002792,0
